scene,mode,window,score,delta_from_standard,reused_pixel_identical_source,verified_current_pixel_sha256,reference_pixel_sha256
bistro,standard,central,94.13301849365234,0.0,False,015fa9054e664e51c01bff60e970a955d7a9c6aab362a04dd34675d58d37d949,a1b9a69f36567f82ef0e6eb9c8111db160d7872ba4e4badeae624c2206ba93eb
bistro,integrated,central,88.5227279663086,-5.61029052734375,True,850c66d8493e08b280f9071a517733d44241ecab193e2d6d80784eab8184049c,a1b9a69f36567f82ef0e6eb9c8111db160d7872ba4e4badeae624c2206ba93eb
bistro,standard,transition,95.12677764892578,0.0,False,88398c20ea2d936fc387fcb3daef0e43952f9ab077941ea81fba6fba887da7c2,055e82e6a2b9221bb41fe9f37295f1f38d13da7b494f96909aa63b5aed59a814
bistro,integrated,transition,93.7978286743164,-1.328948974609375,True,f07791fd37a3d87d868cb4ad0964f92e1e1ec22cdf7511ce3b8109ee0460f476,055e82e6a2b9221bb41fe9f37295f1f38d13da7b494f96909aa63b5aed59a814
minecraft,standard,central,95.98645782470703,0.0,False,a5e2b069b5e10e0f824612ebe54b3a7c06139cc11be67facc4c10f04906015b1,24f82cc8487f1600e7d51cee46f1b83504f0613ce21a28709c8999edb12a7137
minecraft,integrated,central,90.23046875,-5.755989074707031,True,5589ae17e26c937f35104dbcf5255480718110bbce0da946793eecdcff85f544,24f82cc8487f1600e7d51cee46f1b83504f0613ce21a28709c8999edb12a7137
minecraft,standard,transition,94.64678955078125,0.0,False,2a95c578d2f72b00c66e2498b58358d4e76e4c7ef0e7d313e3998a8617de3165,8c57181caa4bbf9c31e289c8d6fdda89b389198fb2ef8611082d3d9f2b73c078
minecraft,integrated,transition,93.20719909667969,-1.4395904541015625,True,c9235b3c55c48233a34cf8bf3fefa95e80333c2cfc3cbc33d0a478eb7ccb47d9,8c57181caa4bbf9c31e289c8d6fdda89b389198fb2ef8611082d3d9f2b73c078
